CC,AS,start,uids,first_isp,googlepdns,cloudflare,opendns,quad9,level3,neustar,he,first_others,nb_https,nb_AAAA,nb_A,nb_A_dup,nb_dup_A,dups_isp,dups_pdns,isp_pdns,isp_others,dups_others,dups_long,zombie_1,zombie_2,z_ISP,z_PDNS,z_others,first_3s,first_10s,sum_delay,max_delay
DE,AS215540,1738096200,2,0,1,0,0,0,0,0,0,1,1,1,2,1,23,0,0,0,0,3,0,0,0,0,0,0,0,0,2.6915550231933594,1.8307099342346191
AT,AS12311,1738024200,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4121708869934082,1.4121708869934082
AT,AS12311,1738031400,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593656063079834,0.593656063079834
BA,AS43752,1738060200,2,0,0,0,2,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667552947998047,2.8699820041656494
BA,AS43752,1738067400,4,1,0,0,3,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141486883163452,1.2579870223999023
FI,AS16228,1738045800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,AS16228,1738053000,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.632594347000122,1.072451114654541
NG,AS328188,1738081800,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0020649433135986,1.0020649433135986
NG,AS328188,1738089000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,AS58076,1738045800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
BY,AS58076,1738053000,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0.31990504264831543,0.31990504264831543
PL,AS31412,1738096200,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4278368949890137,1.2882769107818604
PL,AS31412,1738103400,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7226738929748535,0.7226738929748535
RS,AS203752,1738045800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS,AS203752,1738053000,4,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7403838634490967,1.04612398147583
DE,AS198710,1738031400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,AS198710,1738038600,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8985030651092529,0.8985030651092529
SA,AS30815,1738096200,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8351280689239502,0.8351280689239502
SA,AS30815,1738103400,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5897879600524902,0.5897879600524902
ES,AS62352,1738096200,55,0,55,0,0,0,0,0,0,0,0,0,55,5,10,0,6,0,0,0,0,0,0,0,0,0,0,1,41.92348313331604,4.478029012680054
ES,AS62352,1738103400,7,0,6,1,0,0,0,0,0,0,1,1,7,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,2.88748836517334,0.7548799514770508
NL,AS42567,1738060200,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8130769729614258,0.8130769729614258
NL,AS42567,1738067400,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34815001487731934,0.34815001487731934
SE,AS41216,1738024200,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8074839115142822,0.8074839115142822
SE,AS41216,1738031400,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8802280426025391,0.8802280426025391
BG,AS56971,1738067400,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0136370658874512,1.0136370658874512
BG,AS56971,1738074600,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4148569107055664,1.4148569107055664
SE,AS34133,1738074600,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23928403854370117,0.23928403854370117
SE,AS34133,1738081800,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8560850620269775,0.8560850620269775
PL,AS198928,1738096200,2,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0637860298156738,0.6146590709686279
PL,AS198928,1738103400,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9000349044799805,0.9000349044799805
AT,AS40980,1738089000,1,0,0,0,0,0,0,0,0,1,0,1,1,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0.39116692543029785,0.39116692543029785
AT,AS40980,1738096200,1,0,0,0,0,0,0,0,0,1,0,1,1,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0.3960709571838379,0.3960709571838379
UA,AS48637,1738053000,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3214681148529053,0.3214681148529053
UA,AS48637,1738060200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,AS205343,1738067400,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0945379734039307,1.0945379734039307
BG,AS205343,1738074600,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8408288955688477,0.8408288955688477
DE,AS202499,1738089000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,AS202499,1738096200,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8998749256134033,0.8998749256134033
GB,AS34930,1738038600,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8549790382385254,0.8549790382385254
GB,AS34930,1738045800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,AS34555,1738089000,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9259600639343262,0.9259600639343262
GB,AS34555,1738096200,3,2,0,0,0,0,0,0,0,1,3,0,3,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1.281567096710205,0.7084410190582275
PL,AS205288,1738067400,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183974027633667,1.183974027633667
PL,AS205288,1738074600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,AS47583,1738081800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,AS47583,1738089000,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176374912261963,1.176374912261963
PL,AS60810,1738038600,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17444491386413574,0.17444491386413574
PL,AS60810,1738045800,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9847819805145264,0.9847819805145264
DE,AS212613,1738089000,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44611597061157227,0.44611597061157227
DE,AS212613,1738096200,3,3,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4663419723510742,0.5311861038208008
FR,AS47548,1738038600,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098581075668335,1.098581075668335
FR,AS47548,1738045800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,AS328284,1738089000,1,0,1,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0651829242706299,1.0651829242706299
ML,AS328284,1738096200,2,0,2,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47437000274658203,0.26314210891723633
NL,AS59642,1738053000,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6959190368652344,0.6959190368652344
NL,AS59642,1738060200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,AS44283,1738067400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,AS44283,1738074600,3,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4971411228179932,0.9751229286193848
GB,AS41484,1738060200,7,0,1,6,0,0,0,0,0,0,7,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.712740898132324,1.089540958404541
GB,AS41484,1738067400,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0528569221496582,1.0528569221496582
CZ,AS207167,1738074600,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22728991508483887,0.22728991508483887
CZ,AS207167,1738081800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,AS6794,1738067400,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5727579593658447,1.054542064666748
HR,AS6794,1738074600,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2425329685211182,1.2425329685211182
DE,AS13627,1738089000,6,0,6,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.435876131057739,1.8378419876098633
DE,AS13627,1738096200,2,0,1,1,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,5.645051956176758,4.4725799560546875
HR,AS61094,1738053000,7,2,5,0,0,0,0,0,0,0,5,6,7,5,10,0,0,3,0,0,7,0,0,0,0,0,0,0,6.5465288162231445,1.8580889701843262
HR,AS61094,1738060200,1,0,0,0,0,0,0,0,0,1,0,0,1,1,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0.7124819755554199,0.7124819755554199
IE,AS29487,1738045800,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9665908813476562,0.9665908813476562
IE,AS29487,1738053000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,AS215432,1738096200,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325732946395874,0.325732946395874
PL,AS215432,1738103400,3,0,1,0,0,1,0,0,0,1,1,0,3,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2.5807578563690186,1.0689740180969238
SE,AS62044,1738067400,7,4,0,0,0,0,0,0,0,3,2,1,7,7,48,14,0,0,4,0,4,0,0,0,0,0,0,0,5.9522809982299805,1.282128095626831
SE,AS62044,1738074600,4,1,0,0,0,0,0,0,0,3,4,0,4,4,57,3,0,0,4,0,2,0,0,0,0,0,0,0,3.679210901260376,1.4894440174102783
NL,AS39704,1738060200,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6097590923309326,0.6097590923309326
NL,AS39704,1738067400,2,0,1,0,0,0,0,0,0,1,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.107970952987671,1.1103169918060303
PL,AS199888,1738067400,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383450984954834,0.383450984954834
PL,AS199888,1738074600,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9177970886230469,0.9177970886230469
LV,AS34073,1738045800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,AS34073,1738053000,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9154989719390869,0.9154989719390869
RO,AS51885,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,AS51885,1738024200,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9121549129486084,0.9121549129486084
UA,AS199697,1738031400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,AS199697,1738038600,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5159590244293213,0.5159590244293213
FR,AS24954,1738053000,2,0,2,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4.5449018478393555,3.8203508853912354
FR,AS24954,1738060200,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6193020343780518,0.6193020343780518
BG,AS57840,1738053000,4,0,4,0,0,0,0,0,0,0,0,4,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2.966330051422119,1.1493070125579834
BG,AS57840,1738060200,3,0,3,0,0,0,0,0,0,0,0,3,3,3,8,0,4,0,0,0,0,0,0,0,0,0,0,0,2.0274322032928467,1.008836030960083
NG,AS329244,1738089000,2,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.112421989440918,1.3087499141693115
NG,AS329244,1738096200,7,0,7,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.195718765258789,1.4842400550842285
SE,AS206013,1738081800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,AS206013,1738089000,1,0,1,0,0,0,0,0,0,0,1,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4022839069366455,0.4022839069366455
RO,AS50357,1738074600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,AS50357,1738081800,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7633640766143799,0.7633640766143799
ES,AS209031,1738031400,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551361083984375,0.551361083984375
ES,AS209031,1738038600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,AS204967,1738060200,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942025899887085,0.942025899887085
LT,AS204967,1738067400,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0823230743408203,1.0823230743408203
CZ,AS210644,1738089000,1,0,0,1,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1.4339210987091064,1.4339210987091064
CZ,AS210644,1738096200,2,0,1,1,0,0,0,0,0,0,0,2,2,2,5,0,1,0,0,0,2,0,0,0,0,0,0,1,7.863347053527832,6.716568946838379
CH,AS14381,1738060200,7,0,0,0,0,0,0,0,0,7,0,0,7,7,10,0,0,0,0,9,0,0,0,0,0,0,0,0,4.856586933135986,1.0702979564666748
CH,AS14381,1738067400,1,0,0,0,0,0,0,0,0,1,0,0,1,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9329628944396973,0.9329628944396973
SK,AS25373,1738053000,6,5,1,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9541518688201904,0.9014589786529541
SK,AS25373,1738060200,4,4,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.056218147277832,1.305757999420166
c0,AS37442,1738031400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
