CC,AS,start,uids,first_isp,googlepdns,cloudflare,opendns,quad9,level3,neustar,he,first_others,nb_https,nb_AAAA,nb_A,nb_A_dup,nb_dup_A,dups_isp,dups_pdns,isp_pdns,isp_others,dups_others,dups_long,zombie_1,zombie_2,z_ISP,z_PDNS,z_others,first_3s,first_10s,sum_delay,max_delay
DZ,AS327931,1738017000,252,250,0,0,0,0,0,0,0,2,192,0,252,250,2630,1547,0,0,0,0,1083,0,0,0,0,0,0,1,178.05205035209656,3.4528400897979736
CD,AS37453,1738017000,94,13,81,0,0,0,0,0,0,0,1,6,94,10,11,0,5,2,0,0,4,0,5,2,3,0,0,7,139.64863562583923,11.787167072296143
MU,AS23889,1738017000,9,9,0,0,0,0,0,0,0,0,0,0,9,9,42,35,0,0,0,0,7,0,0,0,0,0,0,0,7.255754232406616,1.5978169441223145
ES,AS57269,1738017000,437,411,6,15,0,0,0,0,0,5,173,302,437,404,755,750,0,0,0,5,0,0,2,2,0,0,0,1,291.7204968929291,7.798719882965088
MR,AS29544,1738017000,175,130,31,1,1,0,12,0,0,0,48,1,174,63,68,0,13,49,0,0,6,0,0,0,0,0,0,18,236.53430485725403,24.246586084365845
MK,AS6821,1738017000,90,90,0,0,0,0,0,0,0,0,26,0,89,26,27,24,0,0,0,0,3,0,3,3,0,0,0,2,80.45112252235413,15.256807088851929
NO,AS39832,1738017000,430,422,2,1,0,0,0,0,0,5,0,0,430,12,15,4,1,0,0,6,4,0,1,1,0,0,0,11,505.9174301624298,7.811234951019287
CZ,AS203488,1738017000,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.475982904434204,0.9403519630432129
FR,AS5410,1738017000,688,664,3,20,0,0,0,0,0,1,317,542,680,292,340,283,0,0,2,0,55,0,0,0,0,0,0,2,453.26261734962463,5.602216005325317
NG,AS29465,1738017000,1556,845,34,1,67,0,0,0,0,609,598,83,1556,587,1474,424,4,10,122,108,806,0,3,0,0,3,0,60,1722.599446296692,17.12225890159607
NL,AS14061,1738017000,22,2,15,5,0,0,0,0,0,0,0,8,22,8,11,2,1,0,0,2,6,0,0,0,0,0,0,1,19.583802700042725,3.1347479820251465
NG,AS328309,1738017000,392,391,1,0,0,0,0,0,0,0,80,5,390,6,6,3,0,0,0,0,3,0,2,2,0,0,0,9,386.77017545700073,19.89338493347168
PT,AS12353,1738017000,674,651,3,15,0,0,0,0,0,5,242,498,674,502,514,504,0,5,3,0,2,0,1,1,0,0,0,6,467.6894769668579,6.007138013839722
GB,AS5607,1738017000,2345,2266,12,48,0,0,0,0,0,19,1590,2158,2345,37,46,16,0,1,6,18,5,0,0,0,0,0,0,2,1389.1342144012451,5.981823921203613
GH,AS30986,1738017000,1296,1288,0,0,0,0,0,0,0,8,356,8,1296,1288,4190,1648,0,6,0,0,2536,38,589,589,0,0,0,31,1330.451586008072,25.35302996635437
SA,AS5080,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,AS8452,1738017000,5348,4439,794,29,0,0,6,14,0,66,1142,7,5299,558,635,353,165,13,3,40,61,0,15,8,7,0,0,143,4951.2960324287415,26.465585947036743
SA,AS43766,1738017000,451,445,6,0,0,0,0,0,0,0,321,289,451,134,168,130,1,0,10,0,27,0,0,0,0,0,0,0,311.3768231868744,2.8616819381713867
MA,AS36925,1738017000,731,587,109,22,0,0,0,0,0,13,354,8,731,596,851,787,24,0,0,0,40,0,0,0,0,0,0,7,585.1091158390045,17.947334051132202
ZA,AS39832,1738017000,70,69,0,0,0,0,0,0,0,1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,117.11153841018677,22.406421899795532
FR,AS3215,1738017000,1343,1283,12,15,0,0,0,0,0,33,466,1172,1328,15,18,10,0,0,7,1,0,0,0,0,0,0,0,3,841.3005425930023,15.018948078155518
UA,AS34700,1738017000,20,20,0,0,0,0,0,0,0,0,1,0,20,20,41,41,0,0,0,0,0,0,0,0,0,0,0,0,13.589622497558594,1.2844460010528564
FR,AS20773,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,AS1257,1738017000,353,324,12,7,0,0,0,0,0,10,201,51,352,99,103,96,0,0,0,6,1,0,50,50,0,0,0,0,220.92785263061523,1.2111690044403076
CZ,AS15614,1738017000,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21216988563537598,0.21216988563537598
PL,AS12912,1738017000,235,232,0,2,0,0,0,0,0,1,132,5,235,125,155,153,0,0,0,0,2,0,0,0,0,0,0,0,152.243230342865,1.8597559928894043
RO,AS8708,1738017000,717,696,20,1,0,0,0,0,0,0,320,381,717,580,1088,1083,1,0,0,0,4,0,0,0,0,0,0,0,437.04594707489014,1.7361879348754883
HU,AS5483,1738017000,158,108,0,11,39,0,0,0,0,0,33,121,157,106,356,335,7,5,0,0,9,0,0,0,0,0,0,0,108.17437219619751,1.5390799045562744
BG,AS29030,1738017000,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57322096824646,0.57322096824646
FI,AS719,1738017000,161,161,0,0,0,0,0,0,0,0,76,105,161,42,44,44,0,0,0,0,0,0,0,0,0,0,0,0,93.28798007965088,1.3169829845428467
PT,AS3243,1738017000,770,724,16,17,0,0,0,0,0,13,196,665,702,642,703,696,0,3,0,0,4,0,9,6,0,3,0,48,822.2687454223633,25.334152936935425
TG,AS36924,1738017000,107,82,24,0,0,0,0,0,0,1,7,37,107,64,67,60,0,2,0,0,5,0,1,1,0,0,0,9,140.7448251247406,7.229029893875122
NL,AS1136,1738017000,550,415,1,127,2,1,0,0,0,4,399,353,550,106,146,64,6,16,60,0,0,0,0,0,0,0,0,0,332.7908217906952,2.25229811668396
NO,AS29695,1738017000,182,170,1,8,1,0,0,0,0,2,133,137,181,47,58,39,0,3,11,0,5,0,0,0,0,0,0,0,105.23022627830505,1.8937370777130127
GB,AS5089,1738017000,2331,2223,28,63,2,0,0,0,0,15,1561,118,2330,57,158,17,4,0,123,9,5,0,27,1,26,0,0,6,1488.6091845035553,20.918330907821655
CZ,AS30764,1738017000,15,14,0,1,0,0,0,0,0,0,7,5,15,9,26,10,0,8,8,0,0,0,9,9,0,0,0,0,8.825003862380981,1.11045503616333
SA,AS25019,1738017000,1052,975,54,12,0,3,0,0,0,8,24,733,1052,550,578,539,15,0,1,12,11,0,0,0,0,0,0,2,729.9289934635162,4.8798511028289795
ET,AS24757,1738017000,272,221,39,7,0,0,5,0,0,0,11,204,272,215,247,6,5,11,0,0,225,0,24,0,24,0,0,4,271.881468296051,16.633994102478027
SA,AS39891,1738017000,1338,1329,7,1,0,0,0,0,0,1,2,1069,1338,185,340,149,0,1,1,1,188,0,0,0,0,0,0,12,1014.5863792896271,7.558500051498413
DE,AS63949,1738017000,7,0,1,6,0,0,0,0,0,0,0,0,7,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,7.670583009719849,2.971522092819214
GB,AS60504,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53,0,0,0,0,0
GB,AS201838,1738017000,109,87,0,20,0,0,0,0,0,2,84,98,108,52,53,52,0,1,0,0,0,0,0,0,0,0,0,1,74.63727879524231,5.822438955307007
GB,AS2856,1738017000,2301,2183,22,58,1,0,0,0,0,37,1395,2040,2285,405,443,387,3,4,0,44,5,0,1,1,0,0,0,3,1391.9451150894165,17.55503511428833
FR,AS15557,1738017000,1072,1044,16,11,0,0,0,0,0,1,333,679,1071,1012,1017,1014,1,0,0,2,0,0,0,0,0,0,0,3,680.5463917255402,5.66327691078186
GB,AS16276,1738017000,166,0,130,29,0,2,0,0,0,5,56,61,160,22,58,0,9,26,0,1,22,0,0,0,0,0,0,8,204.1748640537262,10.783524990081787
UA,AS12706,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,6,0,0,0,0
DE,AS8881,1738017000,225,195,19,7,0,0,0,0,0,4,102,197,224,196,712,708,1,0,0,0,3,0,0,0,0,0,0,0,141.79746651649475,2.125119924545288
HU,AS213155,1738017000,61,0,0,0,0,0,0,0,0,61,27,47,61,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,44.083701848983765,1.4689669609069824
HR,AS5391,1738017000,184,168,2,0,14,0,0,0,0,0,36,5,184,7,7,7,0,0,0,0,0,0,3,0,2,1,0,0,143.6156485080719,1.7543048858642578
FR,AS51207,1738017000,330,325,0,5,0,0,0,0,0,0,179,13,330,173,177,174,0,0,0,0,3,0,0,0,0,0,0,5,264.1786460876465,20.460302114486694
BE,AS5432,1738017000,291,269,1,19,2,0,0,0,0,0,141,249,291,216,497,452,1,4,8,0,32,0,4,4,0,0,0,0,171.08158445358276,1.7250990867614746
BE,AS6848,1738017000,293,293,0,0,0,0,0,0,0,0,115,265,293,10,11,10,0,0,0,0,1,0,0,0,0,0,0,4,203.56139588356018,4.725949048995972
EG,AS36935,1738017000,944,932,9,0,0,0,0,0,0,3,203,8,930,3,3,1,2,0,0,0,0,0,0,0,0,0,0,17,896.8894121646881,26.245309114456177
NG,AS36873,1738017000,658,0,105,267,285,0,0,0,0,1,256,0,658,90,98,0,34,0,0,0,64,0,14,0,11,3,0,40,848.8844101428986,20.701005935668945
SA,AS35819,1738017000,735,720,5,1,3,0,5,0,0,1,475,508,735,221,257,193,4,1,2,0,57,0,8,8,0,0,0,6,532.114583492279,18.119193077087402
SK,AS43451,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,AS5617,1738017000,402,364,13,17,0,0,0,1,0,7,196,212,402,16,35,3,8,3,4,11,6,0,13,0,0,13,0,1,260.21110796928406,3.4314138889312744
EG,AS24835,1738017000,585,468,107,4,0,0,0,0,0,6,134,1,581,9,9,1,5,0,0,0,3,0,0,0,0,0,0,18,583.3660700321198,12.946436882019043
BG,AS29244,1738017000,29,28,1,0,0,0,0,0,0,0,13,0,29,22,24,22,0,2,0,0,0,0,0,0,0,0,0,0,19.10394048690796,1.7287719249725342
GB,AS136787,1738017000,3,0,0,0,0,0,0,0,0,3,1,0,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3.5952179431915283,1.5012478828430176
DE,AS9145,1738017000,34,32,0,1,0,1,0,0,0,0,20,16,34,33,161,159,2,0,0,0,0,0,4,0,0,4,0,0,23.703428030014038,2.4010889530181885
PT,AS2860,1738017000,1069,1055,2,2,0,2,0,0,0,8,368,305,1068,37,53,29,3,0,2,2,17,0,4,4,0,0,0,14,775.1689598560333,12.559256076812744
MT,AS12709,1738017000,6,3,1,0,2,0,0,0,0,0,4,0,6,3,6,6,0,0,0,0,0,0,2,0,0,2,0,0,4.613705158233643,1.363037109375
GH,AS29614,1738017000,288,32,254,0,0,0,0,0,0,2,98,0,286,42,58,0,29,4,0,9,16,0,2,0,2,0,0,5,306.1288330554962,11.184355974197388
CZ,AS5610,1738017000,278,270,5,2,0,0,0,0,0,1,45,91,278,6,6,5,1,0,0,0,0,0,4,0,1,3,0,0,176.43035745620728,2.9983971118927
GB,AS25135,1738017000,120,101,17,2,0,0,0,0,0,0,53,2,118,4,26,1,20,5,0,0,0,0,0,0,0,0,0,3,93.22433543205261,6.604968070983887
GB,AS206067,1738017000,239,219,0,20,0,0,0,0,0,0,92,149,215,187,201,191,0,0,0,0,10,0,0,0,0,0,0,1,172.7661154270172,5.2748119831085205
DE,AS6805,1738017000,602,521,56,15,0,0,0,0,0,10,369,521,597,59,67,53,1,0,1,3,9,0,0,0,0,0,0,0,350.17236161231995,2.2175540924072266
FR,AS12876,1738017000,149,6,76,67,0,0,0,0,0,0,10,49,149,58,120,8,41,24,0,0,47,0,10,0,0,10,0,6,178.17171669006348,11.65051794052124
PL,AS39603,1738017000,202,194,4,0,0,0,0,0,0,4,37,0,202,74,75,75,0,0,0,0,0,0,0,0,0,0,0,5,145.43710231781006,10.741633892059326
NL,AS43350,1738017000,13,13,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.973028898239136,1.2531659603118896
LY,AS328539,1738017000,71,0,38,7,0,0,2,0,0,24,22,0,71,11,19,0,13,0,0,0,6,0,0,0,0,0,0,0,52.989068031311035,1.8544061183929443
BE,AS47377,1738017000,143,138,1,2,0,0,0,0,0,2,94,4,143,87,88,87,0,0,0,0,1,0,0,0,0,0,0,0,91.5097336769104,1.1214630603790283
UA,AS15895,1738017000,272,257,7,7,0,0,0,0,0,1,25,137,264,12,13,11,0,2,0,0,0,0,10,0,0,10,0,1,220.44163179397583,8.852308988571167
IT,AS30722,1738017000,674,602,55,0,0,0,0,0,0,17,240,34,673,68,102,53,8,0,0,0,41,0,13,13,0,0,0,0,469.76909613609314,2.1319479942321777
BY,AS42772,1738017000,34,29,5,0,0,0,0,0,0,0,6,0,34,29,34,34,0,0,0,0,0,0,0,0,0,0,0,0,26.063803911209106,1.9711880683898926
LY,AS37284,1738017000,65,0,48,8,3,0,0,0,0,6,23,0,65,8,17,0,6,0,0,7,4,0,0,0,0,0,0,3,71.41177749633789,9.926048040390015
SI,AS5603,1738017000,16,14,0,2,0,0,0,0,0,0,10,0,16,6,6,4,0,2,0,0,0,0,0,0,0,0,0,0,10.412113189697266,1.3043880462646484
DE,AS3320,1738017000,1309,1220,10,73,0,0,0,0,0,6,603,1164,1303,60,102,92,5,0,1,4,0,0,22,0,0,22,0,3,800.9886775016785,5.92834997177124
EG,AS36992,1738017000,755,707,42,0,0,0,0,0,0,6,163,342,755,200,208,190,3,1,1,4,9,0,3,3,0,0,0,18,673.807080745697,15.867605924606323
CM,AS36912,1738017000,130,125,2,0,0,0,0,0,0,3,27,0,130,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,112.88519549369812,1.9006330966949463
NE,AS37233,1738017000,19,19,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.187541246414185,3.0714099407196045
MA,AS36903,1738017000,1259,1142,113,3,0,0,0,0,0,1,58,84,1257,465,503,445,8,0,0,0,50,0,1,0,1,0,0,56,1336.8218839168549,24.917617082595825
IT,AS3269,1738017000,635,607,16,2,0,0,0,0,0,10,313,14,633,266,270,264,4,0,1,0,1,0,0,0,0,0,0,1,406.38052439689636,3.323090076446533
DE,AS63199,1738017000,3,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.224424123764038,1.1358060836791992
IS,AS6677,1738017000,29,23,5,1,0,0,0,0,0,0,25,1,29,23,67,62,0,5,0,0,0,0,0,0,0,0,0,0,18.01740050315857,1.2329590320587158
PL,AS14593,1738017000,13,0,0,8,0,0,0,0,0,5,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48543405532837,1.1254758834838867
NE,AS37531,1738017000,61,0,35,26,0,0,0,0,0,0,5,0,61,4,4,0,2,0,0,0,2,0,4,0,4,0,0,1,60.98821139335632,3.7306690216064453
GB,AS6871,1738017000,277,0,0,0,0,0,0,0,0,277,92,0,277,243,260,0,0,0,0,257,3,0,0,0,0,0,0,20,284.92473459243774,8.661494970321655
DE,AS3209,1738017000,1111,1040,18,41,0,0,0,0,0,12,611,809,1111,259,312,291,2,13,2,1,3,0,10,0,0,10,0,7,716.020514011383,5.144917964935303
PL,AS12741,1738017000,121,93,28,0,0,0,0,0,0,0,56,2,119,14,15,10,0,5,0,0,0,0,0,0,0,0,0,0,81.20968103408813,1.9493789672851562
DE,AS24940,1738017000,116,4,58,50,3,0,0,0,0,1,70,67,114,80,272,15,23,130,0,1,103,0,0,0,0,0,0,4,106.28250360488892,4.785798072814941
GB,AS13213,1738017000,4,0,4,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9948627948760986,0.9260458946228027
CZ,AS25248,1738017000,4,4,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.555722951889038,1.2474279403686523
RS,AS8400,1738017000,768,705,47,15,0,0,0,0,0,1,229,132,763,593,1173,1048,25,7,0,0,93,0,14,14,0,0,0,5,530.3748593330383,15.243527889251709
KE,AS36926,1738017000,65,0,37,4,1,0,0,0,0,23,3,0,65,31,59,0,4,0,0,45,10,0,0,0,0,0,0,2,84.60267472267151,11.479809045791626
PL,AS41564,1738017000,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.672537088394165,0.672537088394165
PT,AS42863,1738017000,43,0,0,1,0,0,0,0,0,42,16,1,43,30,32,0,0,0,0,32,0,0,0,0,0,0,0,0,26.184481620788574,2.1313068866729736
DE,AS63023,1738017000,39,0,11,28,0,0,0,0,0,0,26,27,38,26,82,0,49,0,0,2,31,0,0,0,0,0,0,0,32.704580783843994,2.713789939880371
NE,AS37385,1738017000,17,0,3,0,14,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,42.23195123672485,12.270311117172241
DK,AS9009,1738017000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7504169940948486,0.7504169940948486
CM,AS30992,1738017000,13,0,4,9,0,0,0,0,0,0,1,0,13,3,6,0,4,0,0,0,2,0,2,0,2,0,0,2,30.81001615524292,16.23142409324646
FI,AS24940,1738017000,39,2,23,11,0,0,0,0,0,3,10,25,39,26,84,6,2,27,8,0,41,0,3,0,0,3,0,1,37.172428131103516,3.359637975692749
SE,AS2119,1738017000,154,115,2,7,0,0,0,0,0,30,93,61,153,106,130,124,3,0,0,3,0,0,0,0,0,0,0,0,98.65058040618896,1.4597969055175781
GB,AS9105,1738017000,182,152,1,27,0,0,0,0,0,2,94,28,179,3,3,0,1,0,0,2,0,0,0,0,0,0,0,0,107.27280116081238,1.4241859912872314
BG,AS12716,1738017000,50,48,0,1,1,0,0,0,0,0,11,2,50,47,65,65,0,0,0,0,0,0,0,0,0,0,0,1,43.01379442214966,11.444437980651855
ES,AS12479,1738017000,897,847,21,20,0,5,0,0,0,4,8,10,897,31,41,20,16,0,0,4,1,0,11,2,3,6,0,13,660.6203610897064,10.68875789642334
RE,AS21351,1738017000,8,8,0,0,0,0,0,0,0,0,7,0,8,8,14,13,0,0,0,0,1,0,0,0,0,0,0,0,11.556065320968628,1.8557829856872559
CI,AS29571,1738017000,525,491,20,11,0,0,0,0,0,3,101,0,525,93,131,92,3,0,0,0,36,0,0,0,0,0,0,6,511.18737864494324,8.901026010513306
ES,AS3352,1738017000,1204,1117,55,25,0,0,0,0,0,7,221,148,1204,81,130,24,11,3,1,0,91,0,0,0,0,0,0,2,820.714590549469,10.644653081893921
FR,AS12322,1738017000,823,769,21,24,0,0,0,0,0,9,406,782,823,713,1123,1116,0,0,5,0,2,0,0,0,0,0,0,1,485.56986141204834,5.158402919769287
CH,AS6730,1738017000,183,172,0,0,0,0,0,0,0,11,152,31,183,155,478,451,0,0,0,0,27,0,22,17,2,3,0,0,138.77004432678223,1.748840093612671
EG,AS24863,1738017000,300,298,1,0,1,0,0,0,0,0,133,0,300,58,58,57,1,0,0,0,0,0,0,0,0,0,0,3,241.67762160301208,6.134145021438599
LY,AS328286,1738017000,137,0,97,37,0,0,0,0,0,3,19,0,137,25,28,0,18,0,0,0,10,0,0,0,0,0,0,3,134.51022744178772,13.35486102104187
GB,AS207995,1738017000,1,1,0,0,0,0,0,0,0,0,1,0,1,1,5,1,0,0,2,0,2,0,0,0,0,0,0,0,0.8207459449768066,0.8207459449768066
ZA,AS327991,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,AS6739,1738017000,212,0,3,2,0,0,0,0,0,207,72,2,212,3,3,0,2,0,0,1,0,0,0,0,0,0,0,0,131.27110743522644,1.6205298900604248
UA,AS21497,1738017000,229,98,6,0,0,0,0,0,0,125,6,0,229,216,414,198,3,0,0,213,0,0,0,0,0,0,0,1,158.1614420413971,5.379220962524414
BY,AS6697,1738017000,121,108,13,0,0,0,0,0,0,0,14,1,121,98,188,183,2,0,0,0,3,0,2,0,0,2,0,1,93.24912595748901,5.751668930053711
SO,AS37563,1738017000,11,0,11,0,0,0,0,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10.885664939880371,2.2241289615631104
FI,AS1759,1738017000,36,28,0,8,0,0,0,0,0,0,19,12,36,29,43,40,0,1,0,0,2,0,2,2,0,0,0,1,29.84968876838684,5.99613094329834
AO,AS37119,1738017000,160,158,2,0,0,0,0,0,0,0,10,15,160,16,17,7,0,0,0,0,10,0,0,0,0,0,0,18,300.72830748558044,17.358540058135986
FR,AS205669,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,AS200845,1738017000,190,54,69,21,0,0,0,0,0,46,69,28,190,84,85,0,10,1,43,31,0,0,0,0,0,0,0,0,144.29140830039978,2.1729319095611572
GN,AS37612,1738017000,26,25,1,0,0,0,0,0,0,0,2,0,26,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,52.33565878868103,9.816191911697388
SA,AS21859,1738017000,7,0,0,7,0,0,0,0,0,0,2,7,7,7,10,0,7,0,0,0,3,0,0,0,0,0,0,1,10.375877857208252,3.1524839401245117
SA,AS35753,1738017000,68,53,14,0,0,0,0,0,0,1,32,26,68,44,74,67,1,0,0,0,6,0,0,0,0,0,0,0,65.59516644477844,2.6631369590759277
ES,AS203936,1738017000,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12143087387085,1.0858159065246582
KE,AS327972,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,AS31399,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,AS41820,1738017000,2,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7913670539855957,1.088804006576538
ME,AS8585,1738017000,36,36,0,0,0,0,0,0,0,0,5,1,36,36,77,76,0,0,0,0,1,0,0,0,0,0,0,0,25.941439628601074,1.2924449443817139
AL,AS206262,1738017000,84,1,56,27,0,0,0,0,0,0,64,1,81,48,56,0,51,0,0,0,5,0,0,0,0,0,0,0,52.264461040496826,1.4934449195861816
RS,AS31042,1738017000,224,215,0,1,0,0,0,0,0,8,105,10,223,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,143.1953992843628,1.6058380603790283
RO,AS35725,1738017000,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7452011108398438,0.7452011108398438
UG,AS20294,1738017000,64,55,5,0,0,0,0,0,0,4,7,0,64,17,26,13,0,0,3,3,7,0,0,0,0,0,0,1,57.19863271713257,3.0405640602111816
DE,AS40021,1738017000,10,0,1,6,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.724050283432007,3.462985038757324
DE,AS197540,1738017000,7,0,7,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.867282152175903,1.035818099975586
IT,AS29447,1738017000,232,230,2,0,0,0,0,0,0,0,83,28,232,92,102,102,0,0,0,0,0,0,0,0,0,0,0,0,161.27190160751343,1.762303113937378
LU,AS6661,1738017000,52,52,0,0,0,0,0,0,0,0,37,51,52,52,72,72,0,0,0,0,0,0,0,0,0,0,0,0,31.25036859512329,1.0627210140228271
EG,AS37069,1738017000,419,419,0,0,0,0,0,0,0,0,53,0,418,4,4,4,0,0,0,0,0,0,0,0,0,0,0,9,409.61549520492554,15.100214004516602
FI,AS16086,1738017000,61,52,0,9,0,0,0,0,0,0,34,53,61,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,37.967236042022705,1.0657029151916504
SE,AS60068,1738017000,18,0,17,1,0,0,0,0,0,0,4,15,18,14,18,0,11,0,0,0,7,0,0,0,0,0,0,0,14.519062757492065,2.1137800216674805
ML,AS21271,1738017000,319,302,17,0,0,0,0,0,0,0,0,0,319,1,1,0,0,0,0,0,1,0,1,0,1,0,0,16,444.30785965919495,22.31821894645691
BF,AS36924,1738017000,90,65,25,0,0,0,0,0,0,0,6,88,88,27,32,28,0,0,0,0,4,0,0,0,0,0,0,2,96.40655207633972,22.826514959335327
UG,AS37075,1738017000,65,0,32,6,2,0,0,0,0,25,3,0,65,15,29,0,1,0,0,24,4,0,0,0,0,0,0,5,86.78158497810364,6.705780029296875
ES,AS272809,1738017000,79,0,53,8,6,2,0,0,0,10,8,0,79,47,101,0,47,0,0,34,20,0,0,0,0,0,0,6,107.29687333106995,16.00723910331726
LY,AS21003,1738017000,106,80,23,0,3,0,0,0,0,0,34,0,106,40,58,47,3,2,0,0,6,0,3,3,0,0,0,6,122.72366452217102,8.45578408241272
UA,AS196863,1738017000,4,2,0,2,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5319769382476807,1.2819979190826416
SK,AS6855,1738017000,72,65,1,0,6,0,0,0,0,0,18,0,72,56,67,58,0,0,0,0,9,0,4,0,0,4,0,0,47.861379861831665,2.6180601119995117
CI,AS36974,1738017000,194,184,0,0,0,0,0,0,0,10,21,0,192,187,187,177,0,0,0,10,0,0,0,0,0,0,0,1,179.05524826049805,3.538012981414795
DE,AS212238,1738017000,22,1,9,2,0,0,0,0,0,10,9,5,22,8,11,0,6,0,0,2,3,0,1,0,0,1,0,0,22.546777963638306,2.3850760459899902
IT,AS12874,1738017000,391,388,0,3,0,0,0,0,0,0,179,211,391,370,556,528,0,2,0,0,26,0,0,0,0,0,0,0,246.35162091255188,1.8449440002441406
MA,AS6713,1738017000,196,195,1,0,0,0,0,0,0,0,0,2,196,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,139.53517746925354,2.5017499923706055
SD,AS15706,1738017000,27,0,1,0,0,0,0,0,0,26,9,0,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,82.50211715698242,20.546410083770752
ES,AS12430,1738017000,517,470,43,4,0,0,0,0,0,0,102,4,516,34,35,23,4,3,1,4,0,0,0,0,0,0,0,0,340.0296838283539,1.29659104347229
IT,AS51167,1738017000,14,0,0,14,0,0,0,0,0,0,0,1,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,39.59876012802124,12.633641004562378
UA,AS31593,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,AS6703,1738017000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,AS37461,1738017000,498,218,1,0,0,0,0,0,0,279,91,0,498,497,586,223,1,0,28,278,56,0,8,4,0,4,0,22,585.7670226097107,12.249905109405518
GB,AS13285,1738017000,696,659,14,12,2,0,0,0,0,9,329,10,678,20,30,2,1,0,0,22,5,0,0,0,0,0,0,1,443.0387771129608,5.41026496887207
IE,AS13280,1738017000,102,100,1,1,0,0,0,0,0,0,49,2,101,90,90,90,0,0,0,0,0,0,1,0,0,1,0,1,73.7381157875061,3.885946035385132
