M3.1, , 0.648282,
M3.2, , 0.818027,
M3.3.1, LOCAL, 0.027700,
M3.3.1, LOCALHOST, 0.003483,
M3.3.1, INVALID, 0.003058,
M3.3.1, TEST, 0.000091,
M3.3.1, EXAMPLE, 0.000066,
M3.3.1, ONION, 0.000038,
M3.3.2, HOME, 0.035399,
M3.3.2, DHCP HOST, 0.008542,
M3.3.2, DHCP, 0.007526,
M3.3.2, LAN, 0.004867,
M3.3.2, INTERNAL, 0.004493,
M3.3.2, LOCALDOMAIN, 0.004337,
M3.3.2, IP, 0.004310,
M3.3.2, OPENSTACKLOCAL, 0.003381,
M3.3.2, DLINK, 0.003368,
M3.3.2, CORP, 0.002279,
M3.3.2, DAVOLINK, 0.002000,
M3.3.2, BELKIN, 0.001906,
M3.3.2, _0x83, 0.001808,
M3.3.2, DLINKROUTER, 0.001798,
M3.3.2, GATEWAY, 0.001785,
M3.3.2, HOMESTATION, 0.001763,
M3.3.2, KSCN, 0.001452,
M3.3.2, WORKGROUP, 0.001427,
M3.3.2, MYNET, 0.001260,
M3.3.3, length_10, 0.046758,
M3.3.3, length_8, 0.041793,
M3.3.3, length_7, 0.041097,
M3.3.3, length_9, 0.040417,
M3.3.3, length_14, 0.039857,
M3.3.3, length_12, 0.039514,
M3.3.3, length_15, 0.039489,
M3.3.3, length_13, 0.039273,
M3.3.3, length_11, 0.039148,
M3.3.3, length_3, 0.014867,
M3.3.3, length_2, 0.008922,
M3.3.3, length_4, 0.003866,
M3.3.3, length_1, 0.003131,
M3.3.3, length_6, 0.003006,
M3.3.3, length_5, 0.002181,
M3.3.3, length_32, 0.001176,
M3.3.3, length_17, 0.001166,
M3.3.3, length_16, 0.001031,
M3.3.4, , 0.113457,
M3.4.1, , 0.70398,
M3.4.2,	8, 0.012483,
M3.4.2,	10, 0.001387,
M3.5, , 0.655473,
M3.6, , 0.136816,
