ip_first, ip_last, as_number,
2001:4998:68::,2001:4998:68:ffff:ffff:ffff:ffff:ffff,5779,
2001:4998:69::,2001:4998:6b:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:6c::,2001:4998:6f:ffff:ffff:ffff:ffff:ffff,36647,
2001:4998:70::,2001:4998:123:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:124::,2001:4998:127:ffff:ffff:ffff:ffff:ffff,26101,
2001:4998:128::,2001:4998:12f:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:130::,2001:4998:13f:ffff:ffff:ffff:ffff:ffff,10880,
2001:4998:140::,2001:4998:14f:ffff:ffff:ffff:ffff:ffff,7280,
2001:4998:150::,2001:4998:15b:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:15c::,2001:4998:15c:ffff:ffff:ffff:ffff:ffff,36752,
2001:4998:15d::,2001:4998:17f:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:180::,2001:4998:18f:ffff:ffff:ffff:ffff:ffff,7280,
2001:4998:190::,2001:4998:193:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:194::,2001:4998:197:ffff:ffff:ffff:ffff:ffff,26101,
2001:4998:198::,2001:4998:19b:ffff:ffff:ffff:ffff:ffff,36647,
2001:4998:19c::,2001:4998:19f:ffff:ffff:ffff:ffff:ffff,36646,
2001:4998:1a0::,2001:4998:1a3:ffff:ffff:ffff:ffff:ffff,10229,
2001:4998:1a4::,2001:4998:1a7:ffff:ffff:ffff:ffff:ffff,24506,
2001:4998:1a8::,2001:4998:1ab:ffff:ffff:ffff:ffff:ffff,34010,
2001:4998:1ac::,2001:4998:1af:ffff:ffff:ffff:ffff:ffff,56173,
2001:4998:1b0::,2001:4998:ef5e:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:ef5f::,2001:4998:ef5f:ffff:ffff:ffff:ffff:ffff,14778,
2001:4998:ef60::,2001:4998:ef61:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:ef62::,2001:4998:ef65:ffff:ffff:ffff:ffff:ffff,14778,
2001:4998:ef66::,2001:4998:ef6a:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:ef6b::,2001:4998:ef6b:ffff:ffff:ffff:ffff:ffff,36647,
2001:4998:ef6c::,2001:4998:ef6c:ffff:ffff:ffff:ffff:ffff,36646,
2001:4998:ef6d::,2001:4998:ef72:ffff:ffff:ffff:ffff:ffff,14778,
2001:4998:ef73::,2001:4998:ef75:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:ef76::,2001:4998:ef76:ffff:ffff:ffff:ffff:ffff,14778,
2001:4998:ef77::,2001:4998:ef7a:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:ef7b::,2001:4998:ef7b:ffff:ffff:ffff:ffff:ffff,14778,
2001:4998:ef7c::,2001:4998:ef98:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:ef99::,2001:4998:ef99:ffff:ffff:ffff:ffff:ffff,26101,
2001:4998:ef9a::,2001:4998:ef9a:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:ef9b::,2001:4998:ef9b:ffff:ffff:ffff:ffff:ffff,14778,
2001:4998:ef9c::,2001:4998:efe5:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:efe6::,2001:4998:efe6:ffff:ffff:ffff:ffff:ffff,26085,
2001:4998:efe7::,2001:4998:efea:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:efeb::,2001:4998:efeb:ffff:ffff:ffff:ffff:ffff,36646,
2001:4998:efec::,2001:4998:eff3:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:eff4::,2001:4998:eff4:ffff:ffff:ffff:ffff:ffff,14678,
2001:4998:eff5::,2001:4998:eff5:ffff:ffff:ffff:ffff:ffff,36647,
2001:4998:eff6::,2001:4998:effc:ffff:ffff:ffff:ffff:ffff,10310,
2001:4998:effd::,2001:4998:effd:ffff:ffff:ffff:ffff:ffff,7233,
2001:4998:effe::,2001:4998:ffff:ffff:ffff:ffff:ffff:ffff,10310,
2001:49a0::,2001:49a0:fbfe:ffff:ffff:ffff:ffff:ffff,10310,
2001:49a0:fbff::,2001:49a0:fbff:ffff:ffff:ffff:ffff:ffff,7233,
2001:49a0:fc00::,2001:49a0:ffff:ffff:ffff:ffff:ffff:ffff,10310,
2001:49b0::,2001:49b0:ffff:ffff:ffff:ffff:ffff:ffff,26860,
2001:49b8::,2001:49b8:ffff:ffff:ffff:ffff:ffff:ffff,21737,
2001:49c8::,2001:49c8:ffff:ffff:ffff:ffff:ffff:ffff,22284,
2001:49d0::,2001:49d0:ff:ffff:ffff:ffff:ffff:ffff,2495,
2001:49d0:100::,2001:49d0:13f:ffff:ffff:ffff:ffff:ffff,18460,
2001:49d0:140::,2001:49d0:17f:ffff:ffff:ffff:ffff:ffff,20177,
2001:49d0:180::,2001:49d0:1bf:ffff:ffff:ffff:ffff:ffff,15116,
2001:49d0:1c0::,2001:49d0:83ff:ffff:ffff:ffff:ffff:ffff,2495,
2001:49d0:8400::,2001:49d0:87ff:ffff:ffff:ffff:ffff:ffff,2496,
2001:49d0:8800::,2001:49d0:ffff:ffff:ffff:ffff:ffff:ffff,2495,
2001:49e0::,2001:49e0:ffff:ffff:ffff:ffff:ffff:ffff,4581,
2001:49e8::,2001:49e8:ffff:ffff:ffff:ffff:ffff:ffff,6939,
2001:49f0:2920::,2001:49f0:2920:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:a000::,2001:49f0:afff:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d001::,2001:49f0:d00a:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d00c::,2001:49f0:d00e:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d010::,2001:49f0:d018:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d01b::,2001:49f0:d032:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d034::,2001:49f0:d034:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d03f::,2001:49f0:d04a:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d04c::,2001:49f0:d055:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d057::,2001:49f0:d087:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d089::,2001:49f0:d098:7fff:ffff:ffff:ffff:ffff,174,
2001:49f0:d099::,2001:49f0:d09a:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d09c::,2001:49f0:d09e:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0a0::,2001:49f0:d0a3:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0a5::,2001:49f0:d0ae:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0b0::,2001:49f0:d0bf:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0c1::,2001:49f0:d0c9:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0d0::,2001:49f0:d0d5:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0d7::,2001:49f0:d0d8:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0d9::,2001:49f0:d0db:ffff:ffff:ffff:ffff:ffff,2914,
2001:49f0:d0dd::,2001:49f0:d0df:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0e1::,2001:49f0:d0e2:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0e4::,2001:49f0:d0e5:ffff:ffff:ffff:ffff:ffff,174,
2001:49f0:d0e6::,2001:49f0:d0e6:ffff:ffff:ffff:ffff:ffff,52320,
2001:49f0:d0e7::,2001:49f0:d0f1:ffff:ffff:ffff:ffff:ffff,174,
2001:49f8:40a::,2001:49f8:40a:ffff:ffff:ffff:ffff:ffff,14230,
2001:4a00::,2001:4a1f:ffff:ffff:ffff:ffff:ffff:ffff,13285,
2001:4b00::,2001:4b07:ffff:ffff:ffff:ffff:ffff:ffff,12620,
2001:4b08::,2001:4b08:ffff:ffff:ffff:ffff:ffff:ffff,29452,
2001:4b10::,2001:4b10:ffff:ffff:ffff:ffff:ffff:ffff,3213,
2001:4b18::,2001:4b18:ffff:ffff:ffff:ffff:ffff:ffff,20746,
2001:4b20::,2001:4b27:ffff:ffff:ffff:ffff:ffff:ffff,34288,
2001:4b28::,2001:4b28:ffff:ffff:ffff:ffff:ffff:ffff,6775,
2001:4b30::,2001:4b37:ffff:ffff:ffff:ffff:ffff:ffff,9036,
2001:4b38::,2001:4b38:ffff:ffff:ffff:ffff:ffff:ffff,25220,
2001:4b3a::,2001:4b3a:ffff:ffff:ffff:ffff:ffff:ffff,25220,
2001:4b58::,2001:4b58:26:ffff:ffff:ffff:ffff:ffff,6802,
2001:4b58:27::,2001:4b58:27:ffff:ffff:ffff:ffff:ffff,213355,
2001:4b58:28::,2001:4b58:ffff:ffff:ffff:ffff:ffff:ffff,6802,
2001:4b60::,2001:4b60:ff:ffff:ffff:ffff:ffff:ffff,28857,
2001:4b60:100::,2001:4b60:100:ffff:ffff:ffff:ffff:ffff,1764,
2001:4b60:101::,2001:4b60:ffff:ffff:ffff:ffff:ffff:ffff,28857,
2001:4b69::,2001:4b69:ffff:ffff:ffff:ffff:ffff:ffff,12635,
2001:4b6c::,2001:4b6f:ffff:ffff:ffff:ffff:ffff:ffff,12635,
2001:4b78::,2001:4b7f:ffff:ffff:ffff:ffff:ffff:ffff,12637,
2001:4b80::,2001:4b87:ffff:ffff:ffff:ffff:ffff:ffff,206557,
2001:4b88::,2001:4b88:ffff:ffff:ffff:ffff:ffff:ffff,20640,
2001:4b98::,2001:4b98:dc3:ffff:ffff:ffff:ffff:ffff,29169,
2001:4b98:dc4::,2001:4b98:dc6:ffff:ffff:ffff:ffff:ffff,203476,
2001:4b98:dc7::,2001:4b98:aaa9:ffff:ffff:ffff:ffff:ffff,29169,
2001:4b98:aaaa::,2001:4b98:aaab:ffff:ffff:ffff:ffff:ffff,209453,
2001:4b98:aaac::,2001:4b98:ffff:ffff:ffff:ffff:ffff:ffff,29169,
2001:4b99:1::,2001:4b99:1:ffff:ffff:ffff:ffff:ffff,203476,
2001:4ba0::,2001:4ba1:ffff:ffff:ffff:ffff:ffff:ffff,24961,
2001:4ba7::,2001:4ba7:0:ffff:ffff:ffff:ffff:ffff,34936,
2001:4ba8::,2001:4baf:ffff:ffff:ffff:ffff:ffff:ffff,12570,
2001:4bb0::,2001:4bb0:ffff:ffff:ffff:ffff:ffff:ffff,41497,
2001:4bb8::,2001:4bbf:ffff:ffff:ffff:ffff:ffff:ffff,8447,
2001:4bc8::,2001:4bcf:ffff:ffff:ffff:ffff:ffff:ffff,8412,
2001:4bd8::,2001:4bd8:51:ffff:ffff:ffff:ffff:ffff,15725,
2001:4bd8:52::,2001:4bd8:52:ffff:ffff:ffff:ffff:ffff,199284,
2001:4bd8:53::,2001:4bdf:ffff:ffff:ffff:ffff:ffff:ffff,15725,
2001:4be0::,2001:4be0:ffff:ffff:ffff:ffff:ffff:ffff,31703,
2001:4be8::,2001:4be8:ffff:ffff:ffff:ffff:ffff:ffff,31595,
2001:4bf0::,2001:4bf0:0:ffff:ffff:ffff:ffff:ffff,34623,
2001:4bf0:1::,2001:4bf0:1:ffff:ffff:ffff:ffff:ffff,29527,
2001:4bf8::,2001:4bf8:ffff:ffff:ffff:ffff:ffff:ffff,8271,
2001:4c00::,2001:4c00:893a:ffff:ffff:ffff:ffff:ffff,34695,
2001:4c00:893b::,2001:4c00:893b:ffff:ffff:ffff:ffff:ffff,197835,
2001:4c00:893c::,2001:4c07:ffff:ffff:ffff:ffff:ffff:ffff,34695,
2001:4c08::,2001:4c08:2025:ffff:ffff:ffff:ffff:ffff,3356,
2001:4c08:2026::,2001:4c08:2026:ffff:ffff:ffff:ffff:ffff,32787,
2001:4c08:2027::,2001:4c08:ffff:ffff:ffff:ffff:ffff:ffff,3356,
2001:4c10::,2001:4c10:ffff:ffff:ffff:ffff:ffff:ffff,24586,
2001:4c20::,2001:4c20:ffff:ffff:ffff:ffff:ffff:ffff,29636,
2001:4c21::,2001:4c21:ffff:ffff:ffff:ffff:ffff:ffff,60610,
2001:4c28::,2001:4c28:ffff:ffff:ffff:ffff:ffff:ffff,39832,
2001:4c30::,2001:4c30:ffff:ffff:ffff:ffff:ffff:ffff,9085,
2001:4c38::,2001:4c3f:ffff:ffff:ffff:ffff:ffff:ffff,15435,
2001:4c40::,2001:4c40:ffff:ffff:ffff:ffff:ffff:ffff,8368,
2001:4c48::,2001:4c4f:ffff:ffff:ffff:ffff:ffff:ffff,5483,
2001:4c50::,2001:4c50:ffff:ffff:ffff:ffff:ffff:ffff,35244,
2001:4c58::,2001:4c5b:ffff:ffff:ffff:ffff:ffff:ffff,8286,
2001:4c5c::,2001:4c5f:ffff:ffff:ffff:ffff:ffff:ffff,13119,
2001:4c68::,2001:4c68:ffff:ffff:ffff:ffff:ffff:ffff,24989,
2001:4c70::,2001:4c70:ffff:ffff:ffff:ffff:ffff:ffff,28678,
2001:4c78::,2001:4c78:ffff:ffff:ffff:ffff:ffff:ffff,12350,
2001:4c80::,2001:4c80:ffff:ffff:ffff:ffff:ffff:ffff,2857,
2001:4c88::,2001:4c88:ffff:ffff:ffff:ffff:ffff:ffff,49100,
2001:4c90::,2001:4c97:ffff:ffff:ffff:ffff:ffff:ffff,35612,
2001:4c98::,2001:4c98:ffff:ffff:ffff:ffff:ffff:ffff,35062,
2001:4ca0::,2001:4ca7:ffff:ffff:ffff:ffff:ffff:ffff,12816,
2001:4cb0::,2001:4cb0:ffff:ffff:ffff:ffff:ffff:ffff,29009,
2001:4cb8::,2001:4cb8:40a:ffff:ffff:ffff:ffff:ffff,28878,
2001:4cb8:40b::,2001:4cb8:40b:ffff:ffff:ffff:ffff:ffff,49685,
2001:4cb8:40c::,2001:4cbf:ffff:ffff:ffff:ffff:ffff:ffff,28878,
2001:4cc0::,2001:4cc0:ffff:ffff:ffff:ffff:ffff:ffff,8426,
2001:4cc8::,2001:4cc8:ffff:ffff:ffff:ffff:ffff:ffff,31246,
2001:4cd0::,2001:4cd0:dc00:11ff:ffff:ffff:ffff:ffff,8551,
2001:4cd0:dc00:1200::,2001:4cd0:dc00:12ff:ffff:ffff:ffff:ffff,202818,
2001:4cd0:dc00:1300::,2001:4cd7:ffff:ffff:ffff:ffff:ffff:ffff,8551,
2001:4cd8::,2001:4cd8:ffff:ffff:ffff:ffff:ffff:ffff,8319,
2001:4ce0::,2001:4ce0:ffff:ffff:ffff:ffff:ffff:ffff,25058,
2001:4ce9::,2001:4cea:ffff:ffff:ffff:ffff:ffff:ffff,34868,
2001:4cec::,2001:4cec:ffff:ffff:ffff:ffff:ffff:ffff,34868,
2001:4cee::,2001:4cee:ffff:ffff:ffff:ffff:ffff:ffff,34868,
2001:4cf0::,2001:4cf7:ffff:ffff:ffff:ffff:ffff:ffff,680,
2001:4cf8::,2001:4cf8:ffff:ffff:ffff:ffff:ffff:ffff,13167,
2001:4d00::,2001:4d00:ffff:ffff:ffff:ffff:ffff:ffff,8226,
2001:4d10::,2001:4d10:ffff:ffff:ffff:ffff:ffff:ffff,16030,
2001:4d18::,2001:4d18:0:ffff:ffff:ffff:ffff:ffff,39543,
2001:4d20:4000::,2001:4d20:7fff:ffff:ffff:ffff:ffff:ffff,8569,
2001:4d20:8000::,2001:4d20:ffff:ffff:ffff:ffff:ffff:ffff,39290,
2001:4d38::,2001:4d38:ffff:ffff:ffff:ffff:ffff:ffff,12850,
2001:4d40::,2001:4d47:ffff:ffff:ffff:ffff:ffff:ffff,13237,
2001:4d48::,2001:4d4f:ffff:ffff:ffff:ffff:ffff:ffff,8468,
2001:4d50::,2001:4d50:ffff:ffff:ffff:ffff:ffff:ffff,34309,
2001:4d60::,2001:4d60:ffff:ffff:ffff:ffff:ffff:ffff,1126,
2001:4d68::,2001:4d68:ffff:ffff:ffff:ffff:ffff:ffff,25441,
2001:4d70::,2001:4d70:ffff:ffff:ffff:ffff:ffff:ffff,201210,
2001:4d78:100::,2001:4d78:9ff:ffff:ffff:ffff:ffff:ffff,15830,
2001:4d78:2000::,2001:4d78:20ff:ffff:ffff:ffff:ffff:ffff,15830,
2001:4d78:f200::,2001:4d78:f2ff:ffff:ffff:ffff:ffff:ffff,208333,
2001:4d78:fe01::,2001:4d78:fe09:ffff:ffff:ffff:ffff:ffff,15830,
2001:4d78:fe13::,2001:4d78:fe13:ffff:ffff:ffff:ffff:ffff,15830,
2001:4d78:fe19::,2001:4d78:fe19:ffff:ffff:ffff:ffff:ffff,15830,
2001:4d78:fe20::,2001:4d78:fe20:ffff:ffff:ffff:ffff:ffff,15830,
2001:4d80::,2001:4d80:ffff:ffff:ffff:ffff:ffff:ffff,5588,
2001:4d88::,2001:4d88:ffff:ffff:ffff:ffff:ffff:ffff,31333,
2001:4d8f::,2001:4d8f:ffff:ffff:ffff:ffff:ffff:ffff,41637,
2001:4d98::,2001:4d98:7fff:ffff:ffff:ffff:ffff:ffff,3303,
2001:4da8::,2001:4da8:c00f:ffff:ffff:ffff:ffff:ffff,28824,
2001:4da8:c010::,2001:4da8:c01f:ffff:ffff:ffff:ffff:ffff,207564,
2001:4da8:c020::,2001:4da8:ffff:ffff:ffff:ffff:ffff:ffff,28824,
2001:4db0::,2001:4db0:ff:ffff:ffff:ffff:ffff:ffff,35028,
2001:4db8::,2001:4db8:ffff:ffff:ffff:ffff:ffff:ffff,35706,
2001:4dc0::,2001:4dc0:ffff:ffff:ffff:ffff:ffff:ffff,6067,
2001:4dc8::,2001:4dc8:ffff:ffff:ffff:ffff:ffff:ffff,16316,
2001:4dd0::,2001:4dd7:ffff:ffff:ffff:ffff:ffff:ffff,8422,
2001:4dd8::,2001:4dd8:ffff:ffff:ffff:ffff:ffff:ffff,13069,
2001:4de0::,2001:4de0:3:ffff:ffff:ffff:ffff:ffff,34343,
2001:4de0:49::,2001:4de0:49:ffff:ffff:ffff:ffff:ffff,50525,
2001:4de0:101::,2001:4de0:101:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:400::,2001:4de0:7ff:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:1000::,2001:4de0:1000:ffff:ffff:ffff:ffff:ffff,33438,
2001:4de0:2000::,2001:4de0:2000:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:2001::,2001:4de0:2001:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:2002::,2001:4de0:2002:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:2003::,2001:4de0:2003:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:2004::,2001:4de0:2105:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:2106::,2001:4de0:2107:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:2108::,2001:4de0:2200:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:2201::,2001:4de0:2201:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:2202::,2001:4de0:2202:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:2203::,2001:4de0:2205:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:2206::,2001:4de0:23ff:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:2400::,2001:4de0:24ff:ffff:ffff:ffff:ffff:ffff,11588,
2001:4de0:3000::,2001:4de0:3004:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:3005::,2001:4de0:3005:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:3006::,2001:4de0:3102:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:3103::,2001:4de0:3104:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:3105::,2001:4de0:3105:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:3106::,2001:4de0:3106:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:3107::,2001:4de0:31ff:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:4000::,2001:4de0:4007:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:4008::,2001:4de0:4008:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:4009::,2001:4de0:4102:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:4103::,2001:4de0:4103:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:4104::,2001:4de0:4104:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:4105::,2001:4de0:4105:ffff:ffff:ffff:ffff:ffff,26769,
2001:4de0:4106::,2001:4de0:4201:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:4202::,2001:4de0:4203:ffff:ffff:ffff:ffff:ffff,11588,
2001:4de0:4204::,2001:4de0:43ff:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:5010::,2001:4de0:5010:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:6000::,2001:4de0:60ff:ffff:ffff:ffff:ffff:ffff,33438,
2001:4de0:6102::,2001:4de0:6102:ffff:ffff:ffff:ffff:ffff,33438,
2001:4de0:6200::,2001:4de0:63ff:ffff:ffff:ffff:ffff:ffff,33438,
2001:4de0:7001::,2001:4de0:7002:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:7003::,2001:4de0:7003:ffff:ffff:ffff:ffff:ffff,33438,
2001:4de0:aaa0::,2001:4de0:aaaf:ffff:ffff:ffff:ffff:ffff,34343,
2001:4de0:ac10::,2001:4de0:ac12:ffff:ffff:ffff:ffff:ffff,20446,
2001:4de0:ac13::,2001:4de0:ac13:ffff:ffff:ffff:ffff:ffff,12989,
2001:4de0:ac18::,2001:4de0:ac19:ffff:ffff:ffff:ffff:ffff,20446,
2001:4de8::,2001:4de8:ffff:ffff:ffff:ffff:ffff:ffff,29208,
2001:4df0::,2001:4df7:ffff:ffff:ffff:ffff:ffff:ffff,1680,
2001:5000::,2001:50ff:ffff:ffff:ffff:ffff:ffff:ffff,1273,
2001:5100::,2001:5100:200:ffff:ffff:ffff:ffff:ffff,2529,
2001:5100:201::,2001:5100:204:ffff:ffff:ffff:ffff:ffff,1273,
2001:5100:205::,2001:5100:205:ffff:ffff:ffff:ffff:ffff,2529,
2001:5100:206::,2001:5100:206:ffff:ffff:ffff:ffff:ffff,1273,
2001:5100:207::,2001:51ff:ffff:ffff:ffff:ffff:ffff:ffff,2529,
2001:5200::,2001:57ff:ffff:ffff:ffff:ffff:ffff:ffff,1273,
2001:8000::,2001:8fff:ffff:ffff:ffff:ffff:ffff:ffff,1221,
2001:b000::,2001:b000:590:ffff:ffff:ffff:ffff:ffff,3462,
2001:b000:591::,2001:b000:591:ffff:ffff:ffff:ffff:ffff,9680,
2001:b000:592::,2001:b000:59b:ffff:ffff:ffff:ffff:ffff,3462,
2001:b000:59c::,2001:b000:59c:ffff:ffff:ffff:ffff:ffff,131660,
2001:b000:59d::,2001:b1ff:ffff:ffff:ffff:ffff:ffff:ffff,3462,
2001:b200::,2001:b200:ffff:ffff:ffff:ffff:ffff:ffff,9505,
2001:b201::,2001:b400:d207:ffff:ffff:ffff:ffff:ffff,3462,
2001:b400:d208::,2001:b400:d20f:ffff:ffff:ffff:ffff:ffff,17421,
2001:b400:d210::,2001:b400:d407:ffff:ffff:ffff:ffff:ffff,3462,
2001:b400:d408::,2001:b400:d40f:ffff:ffff:ffff:ffff:ffff,17421,
2001:b400:d410::,2001:b400:dfff:ffff:ffff:ffff:ffff:ffff,3462,
2001:b400:e000::,2001:b400:efff:ffff:ffff:ffff:ffff:ffff,17421,
2001:b400:f000::,2001:b400:f207:ffff:ffff:ffff:ffff:ffff,3462,
2001:b400:f208::,2001:b400:f20f:ffff:ffff:ffff:ffff:ffff,17421,
2001:b400:f210::,2001:b400:f217:ffff:ffff:ffff:ffff:ffff,3462,
2001:b400:f218::,2001:b400:f21f:ffff:ffff:ffff:ffff:ffff,17421,
2001:b400:f220::,2001:b400:f407:ffff:ffff:ffff:ffff:ffff,3462,
2001:b400:f408::,2001:b400:f40f:ffff:ffff:ffff:ffff:ffff,17421,
2001:b400:f410::,2001:b400:f417:ffff:ffff:ffff:ffff:ffff,3462,
2001:b400:f418::,2001:b400:f41f:ffff:ffff:ffff:ffff:ffff,17421,
2001:b400:f420::,2001:b401:22c1:ffff:ffff:ffff:ffff:ffff,3462,
2001:b401:22c2::,2001:b401:22c2:ffff:ffff:ffff:ffff:ffff,17421,
2001:b401:22c3::,2001:b7ff:ffff:ffff:ffff:ffff:ffff:ffff,3462,
2002::,2002:ffff:ffff:ffff:ffff:ffff:ffff:ffff,1103,
2003::,2003:1fff:ffff:ffff:ffff:ffff:ffff:ffff,3320,
2400:0:500::,2400:0:6ff:ffff:ffff:ffff:ffff:ffff,4766,
2400:0:720::,2400:0:73f:ffff:ffff:ffff:ffff:ffff,4766,
2400:0:810::,2400:0:84f:ffff:ffff:ffff:ffff:ffff,4766,
2400:12::,2400:12:0:ffff:ffff:ffff:ffff:ffff,4766,
2400:32::,2400:32:0:ffff:ffff:ffff:ffff:ffff,4766,
2400:c0::,2400:df:ffff:ffff:ffff:ffff:ffff:ffff,4766,
2400:e2::,2400:e3:ffff:ffff:ffff:ffff:ffff:ffff,4766,
2400:f1::,2400:f2:6fff:ffff:ffff:ffff:ffff:ffff,4766,
2400:f2:7000::,2400:f2:7000:ffff:ffff:ffff:ffff:ffff,202818,
2400:f2:7001::,2400:f4:ffff:ffff:ffff:ffff:ffff:ffff,4766,
2400:144::,2400:144:0:ffff:ffff:ffff:ffff:ffff,4766,
2400:180:9::,2400:180:9:ffff:ffff:ffff:ffff:ffff,4766,
2400:181::,2400:181:0:ffff:ffff:ffff:ffff:ffff,4766,
2400:201::,2400:201:0:ffff:ffff:ffff:ffff:ffff,4766,
2400:2c1:3000::,2400:2c1:3000:ffff:ffff:ffff:ffff:ffff,4766,
2400:380:9::,2400:380:9:ffff:ffff:ffff:ffff:ffff,4766,
2400:400:9::,2400:400:9:ffff:ffff:ffff:ffff:ffff,4766,
2400:480:9::,2400:480:9:ffff:ffff:ffff:ffff:ffff,4766,
2400:580:9::,2400:580:9:ffff:ffff:ffff:ffff:ffff,4766,
2400:7a7:8000::,2400:7a7:8000:ffff:ffff:ffff:ffff:ffff,4766,
2400:1000::,2400:1000:ffff:ffff:ffff:ffff:ffff:ffff,10021,
2400:11c0::,2400:11c0:ffff:ffff:ffff:ffff:ffff:ffff,133296,
2400:1200::,2400:1200:ffff:ffff:ffff:ffff:ffff:ffff,9503,
2400:1240::,2400:1240:ffff:ffff:ffff:ffff:ffff:ffff,64098,
2400:13c0::,2400:13c0:ffff:ffff:ffff:ffff:ffff:ffff,135893,
2400:1440::,2400:1440:ffff:ffff:ffff:ffff:ffff:ffff,135666,
2400:1700::,2400:1700:1ff:ffff:ffff:ffff:ffff:ffff,4628,
2400:1700:200::,2400:1700:200:ffff:ffff:ffff:ffff:ffff,136552,
2400:1700:201::,2400:1700:20f:ffff:ffff:ffff:ffff:ffff,4628,
2400:1700:210::,2400:1700:211:ffff:ffff:ffff:ffff:ffff,136552,
2400:1700:212::,2400:1700:2ff:ffff:ffff:ffff:ffff:ffff,4628,
2400:1700:300::,2400:1700:302:ffff:ffff:ffff:ffff:ffff,45166,
2400:1700:303::,2400:1700:ffff:ffff:ffff:ffff:ffff:ffff,4628,
2400:1701::,2400:1701:ffff:ffff:ffff:ffff:ffff:ffff,4765,
2400:1880::,2400:1880:ffff:ffff:ffff:ffff:ffff:ffff,17670,
2400:1a00::,2400:1a00:ffff:ffff:ffff:ffff:ffff:ffff,17501,
2400:1bc0::,2400:1bc0:ffff:ffff:ffff:ffff:ffff:ffff,59368,
2400:1c00:1::,2400:1c00:4:ffff:ffff:ffff:ffff:ffff,45143,
2400:1c00:b::,2400:1c00:c:ffff:ffff:ffff:ffff:ffff,45143,
