M4.1,2017-02-28,v1.06, , 0.990121
M4.2,2017-02-28,v1.06, LOCALHOST, 0.000588
M4.2,2017-02-28,v1.06, LOCAL, 0.000041
M4.2,2017-02-28,v1.06, INVALID, 0.000025
M4.3,2017-02-28,v1.06, (local host names), 0.003982
M4.3,2017-02-28,v1.06, HOME, 0.000551
M4.3,2017-02-28,v1.06, DNS, 0.000189
M4.3,2017-02-28,v1.06, DOMAIN, 0.000096
M4.3,2017-02-28,v1.06, INTERNAL, 0.000087
M4.3,2017-02-28,v1.06, LAN, 0.000040
M4.3,2017-02-28,v1.06, MAIL, 0.000029
M4.4,2017-02-28,v1.06, , 0.004251
M4.5,2017-02-28,v1.06, , 0.900000

M4.6,2017-02-28,v1.06, , 0.090000

