M3.1,2017-01-31,v1.06, , 0.644390
M3.2,2017-01-31,v1.06, , 0.813686
M3.3.1,2017-01-31,v1.06, LOCAL, 0.027775
M3.3.1,2017-01-31,v1.06, LOCALHOST, 0.003365
M3.3.1,2017-01-31,v1.06, INVALID, 0.003015
M3.3.1,2017-01-31,v1.06, TEST, 0.000094
M3.3.1,2017-01-31,v1.06, EXAMPLE, 0.000071
M3.3.1,2017-01-31,v1.06, ONION, 0.000050
M3.3.2,2017-01-31,v1.06, HOME, 0.036739
M3.3.2,2017-01-31,v1.06, DHCP HOST, 0.008767
M3.3.2,2017-01-31,v1.06, DHCP, 0.006843
M3.3.2,2017-01-31,v1.06, LAN, 0.006411
M3.3.2,2017-01-31,v1.06, IP, 0.006402
M3.3.2,2017-01-31,v1.06, INTERNAL, 0.004578
M3.3.2,2017-01-31,v1.06, LOCALDOMAIN, 0.004409
M3.3.2,2017-01-31,v1.06, ARPA, 0.003956
M3.3.2,2017-01-31,v1.06, DLINK, 0.003062
M3.3.2,2017-01-31,v1.06, CORP, 0.002226
M3.3.2,2017-01-31,v1.06, _0x83, 0.002166
M3.3.2,2017-01-31,v1.06, DLINKROUTER, 0.001929
M3.3.2,2017-01-31,v1.06, DAVOLINK, 0.001889
M3.3.2,2017-01-31,v1.06, BELKIN, 0.001865
M3.3.2,2017-01-31,v1.06, GATEWAY, 0.001752
M3.3.2,2017-01-31,v1.06, HOMESTATION, 0.001647
M3.3.2,2017-01-31,v1.06, WORKGROUP, 0.001533
M3.3.2,2017-01-31,v1.06, KSCN, 0.001138
M3.3.3,2017-01-31,v1.06, length_10, 0.044684
M3.3.3,2017-01-31,v1.06, length_8, 0.040130
M3.3.3,2017-01-31,v1.06, length_7, 0.039444
M3.3.3,2017-01-31,v1.06, length_9, 0.038927
M3.3.3,2017-01-31,v1.06, length_14, 0.037787
M3.3.3,2017-01-31,v1.06, length_12, 0.037739
M3.3.3,2017-01-31,v1.06, length_15, 0.037663
M3.3.3,2017-01-31,v1.06, length_13, 0.037359
M3.3.3,2017-01-31,v1.06, length_11, 0.037326
M3.3.3,2017-01-31,v1.06, length_3, 0.036722
M3.3.3,2017-01-31,v1.06, length_2, 0.010901
M3.3.3,2017-01-31,v1.06, length_4, 0.004029
M3.3.3,2017-01-31,v1.06, length_1, 0.003431
M3.3.3,2017-01-31,v1.06, length_6, 0.002890
M3.3.3,2017-01-31,v1.06, length_5, 0.002173
M3.3.3,2017-01-31,v1.06, length_32, 0.001378
M3.3.3,2017-01-31,v1.06, length_17, 0.001050
M3.3.3,2017-01-31,v1.06, length_16, 0.001025
M3.3.4,2017-01-31,v1.06, , 0.098051
M3.4.1,2017-01-31,v1.06, , 0.69398
M3.4.2,2017-01-31,v1.06,	8, 0.011248
M3.4.2,2017-01-31,v1.06,	10, 0.001287
M3.5,2017-01-31,v1.06, , 0.644473
M3.6,2017-01-31,v1.06, , 0.123816
M3.7,2017-01-31,v2.00, -- NONE --, 0.298633,
M3.7,2017-01-31,v2.00, -- OTHERS --, 0.044875,
M3.7,2017-01-31,v2.00, RGA, 0.012528,
M3.7,2017-01-31,v2.00, COM, 0.010934,
M3.7,2017-01-31,v2.00, CN, 0.005467,
M3.7,2017-01-31,v2.00, INF, 0.003417,
M3.7,2017-01-31,v2.00, HITRONHUB, 0.002733,
M3.7,2017-01-31,v2.00, PKITA, 0.002278,
M3.7,2017-01-31,v2.00, NET, 0.001595,
M3.7,2017-01-31,v2.00, EC2, 0.001367,
M3.7,2017-01-31,v2.00, -- NUMBER --, 0.001139,
M3.7,2017-01-31,v2.00, _TCP, 0.001139,
M3.8,2017-01-31,v2.00, , 0.099502,
M3.9,2017-01-31,v2.00, , 0.283371,
M3.10,2017-01-31,v2.00,0, 0.042701,
M3.10,2017-01-31,v2.00,1, 0.316083,
M3.10,2017-01-31,v2.00,25, 0.000000,
M3.10,2017-01-31,v2.00,26, 0.000000,
M3.10,2017-01-31,v2.00,27, 0.000000,
M3.10,2017-01-31,v2.00,28, 0.000000,
M3.10,2017-01-31,v2.00,29, 0.000000,
M3.10,2017-01-31,v2.00,30, 0.000000,
M3.10,2017-01-31,v2.00,31, 0.000000,
M3.10,2017-01-31,v2.00,32, 0.000000,
M3.10,2017-01-31,v2.00,33, 0.000000,
M3.10,2017-01-31,v2.00,34, 0.000232,

