M5.1.1,2017-02-28,v1.06, , 28.380952381
M5.1.2,2017-02-28,v1.06, , 34.7619047619
M5.1.3,2017-02-28,v1.06, , 36.8571428571
M5.1.4,2017-02-28,v1.06, , 13.380952381
M5.1.5,2017-02-28,v1.06, , 27.8095238095
M5.1.6,2017-02-28,v1.06, , 58.8095238095
M5.2.1,2017-02-28,v1.06, , 71.8095238095
M5.2.2,2017-02-28,v1.06, , 1.52380952381
M5.2.3,2017-02-28,v1.06, , 12.1428571429
M5.3.1,2017-02-28,v1.06, , 91.8095238095
M5.3.2,2017-02-28,v1.06, , 84.2380952381
M5.4.1,2017-02-28,v1.06, , 50.5238095238
M5.4.2,2017-02-28,v1.06, , 24.8571428571
M5.5,2017-02-28,v1.06, , 89.619047619
M5.6.1,2017-02-28,v1.06, , 217.0
M5.6.2,2017-02-28,v1.06, , 2063.0
M5.6.3,2017-02-28,v1.06, , 279.0
M5.6.4,2017-02-28,v1.06, , 2385.0
M5.6.5,2017-02-28,v1.06, , 130.0
M5.6.6,2017-02-28,v1.06, , 2040.5
M5.6.7,2017-02-28,v1.06, , 452.5
M5.6.8,2017-02-28,v1.06, , 3370.5
M5.6.9,2017-02-28,v1.06, , 34
M5.6.10,2017-02-28,v1.06, , 470
M5.6.11,2017-02-28,v1.06,  , 38
M5.6.12,2017-02-28,v1.06,  , 522
M5.6.13,2017-02-28,v1.06,  , 21
M5.6.14,2017-02-28,v1.06,  , 415
M5.6.15,2017-02-28,v1.06,  , 58
M5.6.16,2017-02-28,v1.06,  , 666
