M2.1.1.1,2017-02-28,v1.06, , 0.356789
M2.1.1.2,2017-02-28,v1.06, , 1.000000
M2.1.1.3,2017-02-28,v1.06, , 4.000000
M2.1.2.1,2017-02-28,v1.06, , 1.855153
M2.1.2.2,2017-02-28,v1.06, , 2.000000
M2.1.2.3,2017-02-28,v1.06, , 3.000000
M2.1.3.1,2017-02-28,v1.06, , 1.536010
M2.1.3.2,2017-02-28,v1.06, , 2.000000
M2.1.3.3,2017-02-28,v1.06, , 3.000000
M2.1.4.1,2017-02-28,v1.06, , 35.614300
M2.1.4.2,2017-02-28,v1.06, , 1.000000
M2.1.4.3,2017-02-28,v1.06, , 2.000000
M2.1.5,2017-02-28,v1.06, , 5
M2.2.1.1,2017-02-28,v1.06, , 0.254772
M2.2.1.2,2017-02-28,v1.06, , 1.000000
M2.2.1.3,2017-02-28,v1.06, , 3.000000
M2.2.2.1,2017-02-28,v1.06, , 0.517897
M2.2.2.2,2017-02-28,v1.06, , 2.000000
M2.2.2.3,2017-02-28,v1.06, , 3.000000
M2.2.3.1,2017-02-28,v1.06, , 0.282811
M2.2.3.2,2017-02-28,v1.06, , 1.000000
M2.2.3.3,2017-02-28,v1.06, , 2.000000
M2.2.4.1,2017-02-28,v1.06, , 29.409123
M2.2.4.2,2017-02-28,v1.06, , 1.000000
M2.2.4.3,2017-02-28,v1.06, , 2.000000
M2.2.5,2017-02-28,v1.06, , 4

