LeakedTLD,1,RALINKAP,56
LeakedTLD,1,RBL,166
LeakedTLD,1,ROOT,56
LeakedTLD,1,ROUTER,278
LeakedTLD,1,SETTING,58
LeakedTLD,1,SUBSTRATE,52
LeakedTLD,1,SYS,28
LeakedTLD,1,TELUS,644
LeakedTLD,1,TENDAAP,94
LeakedTLD,1,TOTOLINK,190
LeakedTLD,1,TXT,90
LeakedTLD,1,UNIFI,56
LeakedTLD,1,_0x5553aaaaaaaaaaaaaaaa,110
LeakedTLD,1,WORKGROUP,824
LeakedTLD,1,_0x58464c01084cb3,64
LeakedTLD,1,_0x584688,48
LeakedTLD,1,_0x58552501d0e02301,160
LeakedTLD,1,_0x58eb360208dd3402,50
LeakedTLD,1,Z,2394
LeakedTLD,1,_TCP,92
LeakedTLD,1,_0x60574d0290fc4902,76
LeakedTLD,1,_0x60f459,66
LeakedTLD,1,_0x80c5a101,202
LeakedTLD,1,_0x80d0d9,72
LeakedTLD,1,_0x83,4078
LeakedTLD,1,_0x885a4b01b845a3,60
LeakedTLD,1,_0x90033102d82aa0,128
LeakedTLD,1,_0x900dd901,48
LeakedTLD,1,_0x900fa70148c0a501,72
LeakedTLD,1,_0x90335e01,52
LeakedTLD,1,_0x9035a3,62
LeakedTLD,1,_0x9044d0,64
LeakedTLD,1,_0x90a77d,52
LeakedTLD,1,_0x9849f10180adf101,56
LeakedTLD,1,_0xa0fb3501,60
LeakedTLD,1,_0xa8d97b,62
LeakedTLD,1,_0xb0061f0290fcbe01,152
LeakedTLD,1,_0xb048dd,66
LeakedTLD,1,_0xb0d3d00260364e,62
LeakedTLD,1,_0xb0e8a201,60
LeakedTLD,1,_0xb8f827,378
LeakedTLD,1,_0xc0f85601,76
LeakedTLD,1,_0xc4,288
LeakedTLD,1,_0xd04db7,102
LeakedTLD,1,_0xd0580c0158450c01,66
LeakedTLD,1,_0xd0f54c,92
LeakedTLD,1,_0xd835d8,66
LeakedTLD,1,_0xe05be6,52
LeakedTLD,1,_0xe0cd4401,62
LeakedTLD,1,_0xe0ddbf,48
LeakedTLD,1,_0xe81f0b01f8b92c,58
LeakedTLD,1,_0xe85abb,62
LeakedTLD,1,_0xf0db8d,128
LeakedTLD,1,_0xf83e46,180
LeakedTLD,1,_0xf8bd2d01e8512d01,68
RFC6761-TLD,1,INVALID,986
RFC6761-TLD,1,LOCAL,9394
RFC6761-TLD,1,LOCALHOST,1042
RFC6761-TLD,1,TEST,28
UsefulQueries,0,0,92836
UsefulQueries,0,1,53510
