M5.1.1,2017-01-31,v1.06, , 29.6129032258
M5.1.2,2017-01-31,v1.06, , 33.935483871
M5.1.3,2017-01-31,v1.06, , 36.4516129032
M5.1.4,2017-01-31,v1.06, , 14.6129032258
M5.1.5,2017-01-31,v1.06, , 28.2903225806
M5.1.6,2017-01-31,v1.06, , 57.0967741935
M5.2.1,2017-01-31,v1.06, , 70.2580645161
M5.2.2,2017-01-31,v1.06, , 1.38709677419
M5.2.3,2017-01-31,v1.06, , 12.0322580645
M5.3.1,2017-01-31,v1.06, , 91.2258064516
M5.3.2,2017-01-31,v1.06, , 83.6129032258
M5.4.1,2017-01-31,v1.06, , 44.9677419355
M5.4.2,2017-01-31,v1.06, , 24.3548387097
M5.5,2017-01-31,v1.06, , 89.3548387097
M5.6.1,2017-01-31,v1.06, , 207.0
M5.6.2,2017-01-31,v1.06, , 2090.0
M5.6.3,2017-01-31,v1.06, , 259.0
M5.6.4,2017-01-31,v1.06, , 2342.0
M5.6.5,2017-01-31,v1.06, , 135.0
M5.6.6,2017-01-31,v1.06, , 2020.5
M5.6.7,2017-01-31,v1.06, , 421.0
M5.6.8,2017-01-31,v1.06, , 3402.5
M5.6.9,2017-01-31,v1.06, , 33
M5.6.10,2017-01-31,v1.06, , 469
M5.6.11,2017-01-31,v1.06,  , 39
M5.6.12,2017-01-31,v1.06,  , 523
M5.6.13,2017-01-31,v1.06,  , 20
M5.6.14,2017-01-31,v1.06,  , 413
M5.6.15,2017-01-31,v1.06,  , 56
M5.6.16,2017-01-31,v1.06,  , 668
